name,affiliation,homepage,scholarid
Pranab Kumar Muhuri,South Asian University,http://sau.int/~cilab/pkm.php,Gj-yZscAAAAJ
Pranab Sen,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~pgdsen,Ka5re30AAAAJ
Prasenjit Majumder,DAIICT,http://intranet.daiict.ac.in/~p_majumder,Cf-XE08AAAAJ
Prashanth L. A.,IIT Madras,http://www.cse.iitm.ac.in/~prashla,Q1YXWpoAAAAJ
Prashanth Lakshmanrao Ananthapadmanabharao,IIT Madras,http://www.cse.iitm.ac.in/~prashla,Q1YXWpoAAAAJ
Pratik Mazumder,IIT Jodhpur,https://sites.google.com/view/pratikmazumder,WxLYb5QAAAAJ
Pratik Narang,BITS Pilani,https://www.bits-pilani.ac.in/pilani/pratiknarang/profile,YyCGRO8AAAAJ
Praveen Paruchuri,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/praveen.p,ILUqgKEAAAAJ
Praveen Tammana,IIT Hyderabad,https://www.iith.ac.in/cse/praveent,ZCukcP4AAAAJ
Preethi Jyothi,IIT Bombay,https://www.cse.iitb.ac.in/~pjyothi,QN_uhu8AAAAJ
